iter	Passed	Remaining
0	19	19327
1	38	19152
2	56	18885
3	73	18255
4	93	18524
5	111	18468
6	130	18510
7	149	18519
8	168	18515
9	186	18466
10	205	18478
11	224	18483
12	243	18449
13	261	18396
14	280	18413
15	299	18396
16	317	18385
17	336	18379
18	356	18428
19	375	18381
20	393	18357
21	412	18350
22	431	18333
23	450	18304
24	469	18298
25	487	18274
26	505	18230
27	524	18209
28	543	18190
29	561	18168
30	580	18141
31	599	18128
32	618	18114
33	637	18100
34	655	18060
35	675	18077
36	694	18067
37	713	18051
38	732	18056
39	751	18029
40	769	18009
41	786	17941
42	805	17921
43	823	17894
44	842	17876
45	861	17869
46	877	17793
47	896	17783
48	912	17708
49	928	17647
50	949	17669
51	970	17687
52	990	17697
53	1010	17700
54	1030	17713
55	1052	17738
56	1069	17697
57	1089	17695
58	1110	17709
59	1131	17722
60	1152	17734
61	1172	17740
62	1193	17750
63	1213	17746
64	1232	17732
65	1252	17727
66	1271	17707
67	1290	17688
68	1310	17678
69	1328	17655
70	1347	17630
71	1366	17618
72	1385	17598
73	1404	17580
74	1424	17565
75	1442	17543
76	1461	17518
77	1480	17495
78	1500	17487
79	1518	17462
80	1535	17419
81	1554	17401
82	1573	17389
83	1593	17375
84	1612	17358
85	1631	17338
86	1649	17314
87	1668	17291
88	1687	17277
89	1704	17236
90	1723	17219
91	1742	17202
92	1763	17195
93	1782	17179
94	1801	17162
95	1822	17157
96	1838	17116
97	1857	17099
98	1877	17086
99	1896	17066
100	1914	17044
101	1932	17013
102	1952	17003
103	1971	16982
104	1990	16964
105	2009	16946
106	2027	16921
107	2046	16904
108	2065	16887
109	2085	16871
110	2104	16852
111	2123	16832
112	2141	16813
113	2160	16790
114	2178	16765
115	2197	16748
116	2216	16727
117	2235	16710
118	2254	16691
119	2273	16672
120	2291	16649
121	2310	16630
122	2329	16610
123	2348	16590
124	2366	16566
125	2385	16549
126	2405	16535
127	2424	16516
128	2443	16501
129	2464	16491
130	2483	16474
131	2502	16459
132	2521	16439
133	2549	16476
134	2570	16470
135	2590	16456
136	2609	16437
137	2628	16417
138	2648	16403
139	2667	16384
140	2686	16363
141	2704	16342
142	2724	16327
143	2739	16286
144	2758	16266
145	2777	16245
146	2796	16226
147	2812	16193
148	2831	16173
149	2850	16153
150	2869	16132
151	2888	16112
152	2908	16100
153	2926	16077
154	2946	16060
155	2963	16032
156	2983	16017
157	3002	16002
158	3020	15974
159	3040	15961
160	3059	15944
161	3079	15929
162	3099	15917
163	3119	15901
164	3139	15885
165	3165	15904
166	3186	15893
167	3207	15886
168	3228	15873
169	3247	15853
170	3265	15832
171	3284	15809
172	3302	15788
173	3321	15768
174	3340	15748
175	3360	15732
176	3378	15710
177	3397	15689
178	3416	15670
179	3435	15650
180	3452	15621
181	3471	15600
182	3490	15584
183	3510	15566
184	3530	15551
185	3551	15542
186	3572	15531
187	3592	15517
188	3613	15507
189	3635	15496
190	3651	15467
191	3671	15449
192	3690	15430
193	3709	15410
194	3727	15389
195	3747	15371
196	3766	15352
197	3785	15332
198	3805	15318
199	3824	15298
200	3843	15278
201	3863	15261
202	3881	15239
203	3898	15212
204	3917	15193
205	3938	15181
206	3958	15166
207	3979	15153
208	3997	15129
209	4016	15110
210	4036	15093
211	4057	15079
212	4075	15057
213	4095	15040
214	4114	15022
215	4134	15007
216	4154	14989
217	4173	14971
218	4193	14955
219	4212	14936
220	4231	14917
221	4252	14903
222	4271	14883
223	4290	14862
224	4309	14844
225	4329	14827
226	4350	14814
227	4370	14799
228	4391	14784
229	4407	14756
230	4427	14740
231	4448	14726
232	4469	14711
233	4489	14695
234	4509	14679
235	4529	14662
236	4549	14645
237	4569	14630
238	4585	14599
239	4604	14579
240	4622	14559
241	4641	14539
242	4660	14519
243	4680	14501
244	4700	14484
245	4719	14464
246	4738	14446
247	4759	14430
248	4777	14410
249	4796	14390
250	4816	14371
251	4835	14353
252	4854	14333
253	4874	14315
254	4894	14298
255	4913	14280
256	4933	14264
257	4953	14246
258	4971	14222
259	4991	14205
260	5011	14189
261	5031	14173
262	5052	14158
263	5073	14143
264	5093	14127
265	5114	14112
266	5134	14096
267	5154	14079
268	5174	14060
269	5193	14041
270	5214	14026
271	5233	14007
272	5253	13990
273	5274	13974
274	5292	13953
275	5311	13933
276	5331	13914
277	5349	13894
278	5368	13874
279	5388	13854
280	5407	13836
281	5427	13817
282	5447	13801
283	5467	13785
284	5487	13765
285	5509	13753
286	5533	13746
287	5563	13753
288	5592	13758
289	5615	13747
290	5637	13734
291	5659	13721
292	5679	13703
293	5700	13689
294	5723	13677
295	5741	13656
296	5760	13636
297	5782	13621
298	5800	13599
299	5820	13581
300	5840	13562
301	5860	13544
302	5878	13522
303	5898	13504
304	5918	13486
305	5938	13467
306	5959	13451
307	5979	13434
308	5998	13414
309	6019	13398
310	6040	13383
311	6060	13363
312	6080	13345
313	6102	13331
314	6122	13313
315	6143	13297
316	6164	13281
317	6183	13261
318	6203	13243
319	6222	13223
320	6242	13205
321	6261	13185
322	6281	13166
323	6301	13147
324	6321	13129
